Country,Region,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hong Kong,East Asia,200,200,400,400,400,400,400,400,400,400,400,500,500
Malaysia,SE Asia,80,80,80,180,180,180,180,180,180,180,180,180,180
Belarus,Europe,20,20,20,20,20,20,7,7,7,7,7,7,7
Indonesia,SE Asia,100,100,100,100,100,100,100,100,100,200,200,200,200
Argentina,Latin America,70,70,70,70,70,70,70,70,70,70,70,130,130
Korea,East Asia,180,180,360,360,360,360,360,360,360,360,360,400,400
Iceland,Europe,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Singapore,SE Asia,0,150,150,150,300,300,300,300,300,300,300,300,300
New Zealand,Oceania,0,0,25,25,25,25,25,25,25,25,25,25,25
Uzbekistan,Russia and Central Asia,0,0,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0
Mongolia,Russia and Central Asia,0,0,5,10,10,15,15,15,15,15,15,15,15
Kazakhstan,Russia and Central Asia,0,0,7,7,7,7,7,7,7,7,7,7,7
Thailand,SE Asia,0,0,70,70,70,70,70,70,70,70,70,70,
Pakistan,South Asia,0,0,10,10,10,10,10,10,10,20,20,30,30
UAE,MENA,0,0,0,35,35,35,35,35,35,35,0,0,0
Turkey,MENA,0,0,0,10,10,10,12,12,12,12,12,12,35
Australia,Oceania,0,0,0,200,200,200,200,200,200,200,200,200,200
Ukraine,Europe,0,0,0,15,15,15,15,15,15,15,15,15,15
Brazil,Latin America,0,0,0,0,190,190,190,190,0,0,0,0,0
United Kingdom,Europe,0,0,0,0,200,200,350,350,350,350,350,350,350
Hungary,Europe,0,0,0,0,10,10,10,10,10,10,20,40,40
Albania,Europe,0,0,0,0,2,2,2,2,2,2,2,2,2
ECB,Europe,0,0,0,0,350,350,350,350,350,350,350,350,350
Switzerland,Europe,0,0,0,0,0,150,150,150,150,150,150,150,0
Sri Lanka,South Asia,0,0,0,0,0,10,10,10,10,10,10,10,10
Russia,Russia and Central Asia,0,0,0,0,0,150,150,150,150,150,150,150,150
Qatar,MENA,0,0,0,0,0,35,35,35,35,35,35,35,35
Canada,North America,0,0,0,0,0,200,200,200,200,200,200,200,200
Suriname,Latin America,0,0,0,0,0,0,1,1,1,1,1,1,1
Armenia,Europe,0,0,0,0,0,0,1,1,1,1,0,0,0
South Africa,Africa,0,0,0,0,0,0,30,30,30,30,30,30,30
Chile,Latin America,0,0,0,0,0,0,22,22,22,22,22,50,50
Tajikistan,Russia and Central Asia,0,0,0,0,0,0,3,3,3,3,0,0,0
Morocco,MENA,0,0,0,0,0,0,0,10,10,10,10,0,0
Serbia,Europe,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,0,0
Egypt,MENA,0,0,0,0,0,0,0,18,18,18,18,18,18
Nigeria,Africa,0,0,0,0,0,0,0,0,0,15,15,15,15
Japan,East Asia,0,0,0,0,0,0,0,0,0,200,200,200,200
Macau,East Asia,0,0,0,0,0,0,0,0,0,0,30,30,30
Laos,SE Asia,0,0,0,0,0,0,0,0,0,0,0,6,6
World,N/A,650,803.5,1301.2,1666.2,2568.2,3118.2,3313.5,3343,3153,3478,3479,3731.5,3534.5